net,length_um
_10100_,191.68
_11182_,191.34
_07772_,191.22
net317,190.19
_02726_,189.9
pe_row\[0\].pe_col\[3\].pe_inst.b_in\[4\],189.56
pe_row\[1\].pe_col\[3\].pe_inst.b_out\[0\],189.52
net451,189.48
net97,189.42
_06289_,189.36
_07590_,188.87
_07809_,188.82
net333,188.22
_00788_,187.56
_10189_,187.56
net483,187.2
_13160_,186.6
_01500_,186.54
_03869_,186.435
_03519_,185.73
_00791_,185.245
net118,185.16
_11699_,184.92
_06327_,184.395
_04821_,184.14
net189,183.78
_05885_,183.64
_00502_,183.5
_03865_,182.48
_08595_,182.48
_13147_,182.435
_11705_,182.25
pe_row\[0\].pe_col\[1\].pe_inst.a_out\[0\],182.045
_04779_,181.47
_12453_,180.92
_06232_,180.88
_07017_,180.88
_10193_,180.59
_03041_,180.24
_11694_,179.69
_12435_,179.56
_11704_,179.255
_06136_,179.21
_01459_,178.9
_07071_,178.875
_01506_,178.78
net113,178.32
_05952_,178.23
clknet_4_2__leaf_clk,178.07
_01639_,177.9
_03863_,177.04
net53,176.84
_13166_,176.77
net312,176.65
net445,176.47
_12440_,176.44
_03125_,175.94
net386,175.74
net244,175.66
_11693_,175.49
_02327_,175.14
net131,175.11
net145,175.06
net39,174.88
net86,174.36
net128,174.3
_02302_,174.24
_09419_,174.155
net481,174.075
net282,174
pe_row\[3\].pe_col\[0\].pe_inst.a_in\[0\],173.97
_03874_,173.92
_10959_,173.87
_07879_,173.24
net77,173.145
_09414_,172.51
_09396_,172.29
_01601_,172.21
_00600_,172.075
_10179_,171.32
_08559_,171.16
_09575_,171.01
_01505_,170.84
pe_row\[0\].pe_col\[3\].pe_inst.b_in\[3\],170.08
net140,169.66
_11362_,169.54
_12431_,169.47
net98,169.28
_01675_,168.84
net438,168.76
_05387_,168.7
_03302_,168.58
_07711_,168.52
_01523_,168.5
pe_row\[1\].pe_col\[0\].pe_inst.b_out\[7\],168.39
_05457_,168.07
_05302_,167.72
_07091_,167.2
_10090_,167.14
pe_row\[1\].pe_col\[1\].pe_inst.b_out\[1\],166.94
clknet_4_5__leaf_clk,166.85
_06138_,166.755
_03109_,166.475
_08600_,166.475
_09522_,166.28
_01458_,166.02
_02115_,165.98
_03075_,165.65
_13104_,165.54
_08628_,164.68
_13150_,164.615
pe_row\[1\].pe_col\[1\].pe_inst.b_out\[6\],164.48
_06280_,164.155
_12443_,163.89
_11719_,163.7
net606,163.29
_06722_,163.17
_09387_,163.17
skew_ctrl.b_sr\[9\]\[0\],162.88
_09428_,162.69
_08656_,162.58
_01679_,162.29
_10074_,162.17
pe_row\[0\].pe_col\[3\].pe_inst.b_out\[0\],161.84
_06155_,161.82
_10168_,161.74
net361,161.54
_12461_,160.68
_02328_,160.66
